Num Qubits,Time,Step,Ops Index,Training Accuracy,Validation Accuracy
6,0.5,5,0,0.9957567185289957,0.9322033898305084
6,0.5,5,0,0.9971711456859972,0.9096045197740112
6,0.5,5,0,0.998587570621469,0.9034090909090909
6,0.5,5,1,1.0,0.9491525423728814
6,0.5,5,1,0.9971711456859972,0.8813559322033898
6,0.5,5,1,0.9985855728429985,0.9152542372881356
6,0.5,5,1,0.9985855728429985,0.9152542372881356
6,0.5,5,1,0.998587570621469,0.8977272727272727
6,0.5,5,2,0.9971711456859972,0.9209039548022598
6,0.5,5,2,0.9915134370579916,0.8870056497175142
6,0.5,5,2,0.9957567185289957,0.9322033898305084
6,0.5,5,2,0.9971711456859972,0.9209039548022598
6,0.5,5,2,1.0,0.8693181818181818
6,0.5,10,0,0.9971711456859972,0.9378531073446328
6,0.5,10,0,0.9943422913719944,0.8870056497175142
6,0.5,10,0,0.9943422913719944,0.9322033898305084
6,0.5,10,0,0.9971711456859972,0.8983050847457628
6,0.5,10,0,0.998587570621469,0.9147727272727273
6,0.5,10,1,1.0,0.9548022598870056
6,0.5,10,1,0.9971711456859972,0.8983050847457628
6,0.5,10,1,1.0,0.9209039548022598
6,0.5,10,1,0.9985855728429985,0.903954802259887
6,0.5,10,1,1.0,0.9147727272727273
6,0.5,10,2,0.9985855728429985,0.9152542372881356
6,0.5,10,2,0.9929278642149929,0.8813559322033898
6,0.5,10,2,0.9957567185289957,0.9265536723163842
6,0.5,10,2,0.9971711456859972,0.943502824858757
6,0.5,10,2,1.0,0.8636363636363636
6,0.5,20,0,0.9971711456859972,0.9548022598870056
6,0.5,20,0,0.9943422913719944,0.8983050847457628
6,0.5,20,0,0.9943422913719944,0.9209039548022598
6,0.5,20,0,0.9957567185289957,0.9152542372881356
6,0.5,20,0,0.998587570621469,0.9204545454545454
6,0.5,20,1,0.9985855728429985,0.9548022598870056
6,0.5,20,1,0.9971711456859972,0.8870056497175142
6,0.5,20,1,0.9985855728429985,0.8983050847457628
6,0.5,20,1,0.9971711456859972,0.903954802259887
6,0.5,20,1,0.9971751412429378,0.9147727272727273
6,0.5,20,2,0.9985855728429985,0.9265536723163842
6,0.5,20,2,0.9943422913719944,0.8757062146892656
6,0.5,20,2,0.9957567185289957,0.9209039548022598
6,0.5,20,2,0.9971711456859972,0.9322033898305084
6,0.5,20,2,0.998587570621469,0.8806818181818182
6,0.7,1,0,0.9957567185289957,0.655367231638418
6,0.7,1,0,0.9957567185289957,0.6892655367231638
6,0.7,1,0,0.9971711456859972,0.751412429378531
6,0.7,1,0,0.9957567185289957,0.7005649717514124
6,0.7,1,0,0.9901129943502824,0.7272727272727273
6,0.7,1,1,0.9943422913719944,0.6440677966101694
6,0.7,1,1,0.9915134370579916,0.6666666666666666
6,0.7,1,1,0.9929278642149929,0.7062146892655368
6,0.7,1,1,0.9957567185289957,0.6384180790960452
6,0.7,1,1,0.9901129943502824,0.6534090909090909
6,0.7,1,2,0.9971711456859972,0.6440677966101694
6,0.7,1,2,0.9957567185289957,0.6892655367231638
6,0.7,1,2,0.9929278642149929,0.768361581920904
6,0.7,1,2,0.9971711456859972,0.655367231638418
6,0.7,1,2,0.9971751412429378,0.6079545454545454
6,0.7,5,0,0.9943422913719944,0.864406779661017
6,0.7,5,0,0.9943422913719944,0.847457627118644
6,0.7,5,0,0.9957567185289957,0.903954802259887
6,0.7,5,0,0.9985855728429985,0.8418079096045198
6,0.7,5,0,0.998587570621469,0.8693181818181818
6,0.7,5,1,0.9971711456859972,0.903954802259887
6,0.7,5,1,0.9985855728429985,0.8248587570621468
6,0.7,5,1,0.9971711456859972,0.8700564971751412
6,0.7,5,1,0.9985855728429985,0.8305084745762712
6,0.7,5,1,1.0,0.8522727272727273
6,0.7,5,2,0.9985855728429985,0.903954802259887
6,0.7,5,2,0.9985855728429985,0.8757062146892656
6,0.7,5,2,0.9985855728429985,0.8926553672316384
6,0.7,5,2,0.9985855728429985,0.8757062146892656
6,0.7,5,2,0.9971751412429378,0.8238636363636364
6,0.7,10,0,0.9971711456859972,0.8700564971751412
6,0.7,10,0,0.9971711456859972,0.8587570621468926
6,0.7,10,0,0.9971711456859972,0.8926553672316384
6,0.7,10,0,0.9985855728429985,0.8418079096045198
6,0.7,10,0,1.0,0.8863636363636364
6,0.7,10,1,1.0,0.9096045197740112
6,0.7,10,1,1.0,0.8418079096045198
6,0.7,10,1,1.0,0.903954802259887
6,0.7,10,1,0.9971711456859972,0.8587570621468926
6,0.7,10,1,1.0,0.8636363636363636
6,0.7,10,2,1.0,0.8926553672316384
6,0.7,10,2,0.9985855728429985,0.8587570621468926
6,0.7,10,2,0.9957567185289957,0.9209039548022598
6,0.7,10,2,0.9971711456859972,0.8531073446327684
6,0.7,10,2,0.998587570621469,0.8409090909090909
6,0.7,20,0,0.9985855728429985,0.8813559322033898
6,0.7,20,0,0.9971711456859972,0.8361581920903954
6,0.7,20,0,1.0,0.8757062146892656
6,0.7,20,0,1.0,0.8418079096045198
6,0.7,20,0,0.998587570621469,0.8693181818181818
6,0.7,20,1,1.0,0.8983050847457628
6,0.7,20,1,1.0,0.8531073446327684
6,0.7,20,1,0.9985855728429985,0.8926553672316384
6,0.7,20,1,0.9971711456859972,0.8757062146892656
6,0.7,20,1,1.0,0.8636363636363636
6,0.7,20,2,1.0,0.9096045197740112
6,0.7,20,2,1.0,0.8248587570621468
6,0.7,20,2,0.9971711456859972,0.9322033898305084
6,0.7,20,2,0.9957567185289957,0.8587570621468926
6,0.7,20,2,0.998587570621469,0.8920454545454546
6,0.9,1,0,0.9985855728429985,0.5706214689265536
6,0.9,1,0,0.9971711456859972,0.6384180790960452
6,0.9,1,0,0.9971711456859972,0.6214689265536724
6,0.9,1,0,0.9943422913719944,0.6497175141242938
6,0.9,1,0,0.9957627118644068,0.6136363636363636
6,0.9,1,1,0.9985855728429985,0.5819209039548022
6,0.9,1,1,0.9957567185289957,0.6101694915254238
6,0.9,1,1,0.9957567185289957,0.6949152542372882
6,0.9,1,1,0.9971711456859972,0.5310734463276836
6,0.9,1,1,0.9971751412429378,0.5625
6,0.9,1,2,0.9985855728429985,0.6440677966101694
6,0.9,1,2,0.9985855728429985,0.5649717514124294
6,0.9,1,2,0.9943422913719944,0.632768361581921
6,0.9,1,2,0.9943422913719944,0.5932203389830508
6,0.9,1,2,0.9957627118644068,0.625
6,0.9,5,0,0.9985855728429985,0.8361581920903954
6,0.9,5,0,0.9985855728429985,0.7062146892655368
6,0.9,5,0,1.0,0.8531073446327684
6,0.9,5,0,0.9957567185289957,0.7627118644067796
6,0.9,5,0,0.998587570621469,0.75
6,0.9,5,1,0.9985855728429985,0.7909604519774012
6,0.9,5,1,0.9985855728429985,0.768361581920904
6,0.9,5,1,0.9971711456859972,0.8813559322033898
6,0.9,5,1,0.9957567185289957,0.8361581920903954
6,0.9,5,1,0.9957627118644068,0.7727272727272727
6,0.9,5,2,1.0,0.847457627118644
6,0.9,5,2,1.0,0.7457627118644068
6,0.9,5,2,1.0,0.8587570621468926
